Sex,Stage,PctLice,RAfrac,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
M,Ch1,all,0.2,23.4,17.3,13.5,10.9,9,7.6,6.5,5.7,5,4.4,3.9,3.5,3.2,2.9,2.7,2.4,2.2,2.1,1.9
M,Ch2,early,0.35,41,30.3,23.6,19.1,15.8,13.3,11.4,9.9,8.7,7.7,6.9,6.2,5.6,5.1,4.6,4.3,3.9,3.6,3.4
M,Ch2,all,0.4,46.8,34.6,27,21.8,18,15.2,13.1,11.3,10,8.8,7.9,7.1,6.4,5.8,5.3,4.9,4.5,4.1,3.8
M,Pa1,early,0.55,64.4,47.6,37.1,29.9,24.8,20.9,17.9,15.6,13.7,12.1,10.8,9.7,8.8,8,7.3,6.7,6.2,5.7,5.3
M,Pa1,all,0.6,70.3,52,40.5,32.7,27,22.8,19.6,17,14.9,13.2,11.8,10.6,9.6,8.7,8,7.3,6.7,6.2,5.8
M,Pa2,early,0.72,82,60.6,47.2,38.1,31.5,26.6,22.8,19.8,17.4,15.4,13.8,12.4,11.2,10.2,9.3,8.5,7.9,7.3,6.7
M,Pa2,all,0.8,93.7,69.3,54,43.5,36.1,30.4,26.1,22.7,19.9,17.6,15.8,14.2,12.8,11.6,10.6,9.7,9,8.3,7.7
M,Adult,early,0.87,101.9,75.3,58.7,47.4,39.2,33.1,28.4,24.7,21.7,19.2,17.1,15.4,13.9,12.7,11.6,10.6,9.8,9,8.4
M,Adult,all,1,117.1,86.6,67.5,54.4,45.1,38.1,32.6,28.4,24.9,22.1,19.7,17.7,16,14.5,13.3,12.2,11.2,10.4,9.6
M,Larvae,all,0.134,15.7,11.6,9,7.3,6,5.1,4.4,3.8,3.3,2.9,2.6,2.4,2.1,1.9,1.8,1.6,1.5,1.4,1.3
F,Ch1,all,0.16,23.5,17.3,13.5,10.9,9.1,7.7,6.6,5.8,5.1,4.5,4,3.6,3.3,3,2.7,2.5,2.3,2.2,2
F,Ch2,early,0.29,42.5,31.4,24.5,19.8,16.4,13.9,12,10.4,9.2,8.2,7.3,6.6,6,5.4,5,4.6,4.2,3.9,3.6
F,Ch2,all,0.36,52.8,39,30.4,24.6,20.4,17.3,14.9,13,11.4,10.1,9.1,8.2,7.4,6.8,6.2,5.7,5.2,4.9,4.5
F,Pa1,early,0.48,70.4,52,40.5,32.8,27.2,23.1,19.8,17.3,15.2,13.5,12.1,10.9,9.9,9,8.2,7.6,7,6.5,6
F,Pa1,all,0.56,82.1,60.6,47.3,38.2,31.8,26.9,23.1,20.2,17.8,15.8,14.1,12.7,11.5,10.5,9.6,8.8,8.2,7.5,7
F,Pa2,early,0.66,96.7,71.5,55.7,45.1,37.4,31.7,27.3,23.8,20.9,18.6,16.6,15,13.6,12.4,11.3,10.4,9.6,8.9,8.3
F,Pa2,all,0.76,111.4,82.3,64.2,51.9,43.1,36.5,31.4,27.4,24.1,21.4,19.2,17.3,15.6,14.3,13.1,12,11.1,10.2,9.5
F,Adult,early,0.87,127.5,94.2,73.5,59.4,49.3,41.8,35.9,31.3,27.6,24.5,21.9,19.8,17.9,16.3,14.9,13.7,12.7,11.7,10.9
F,Adult,all,1,146.6,108.3,84.5,68.3,56.7,48,41.3,36,31.7,28.2,25.2,22.7,20.6,18.8,17.2,15.8,14.6,13.5,12.5
F,Egg_first,all,1.3,190.5,140.8,109.8,88.8,73.7,62.4,53.7,46.8,41.2,36.6,32.8,29.5,26.8,24.4,22.3,20.5,18.9,17.5,16.3
F,Egg_refract,all,0.25,36.6,27.1,21.1,17.1,14.2,12,10.3,9,7.9,7,6.3,5.7,5.1,4.7,4.3,3.9,3.6,3.4,3.1
F,Larvae,all,0.106,15.5,11.5,9,7.2,6,5.1,4.4,3.8,3.4,3,2.7,2.4,2.2,2,1.8,1.7,1.5,1.4,1.3
